#inputs,mse,training_time,memory_usage,avg_mse,avg_training_time,avg_training_time_per_update,avg_memory_usage,model,params,replicate
100,"[2.158705234527588, 5.254483699798584, 12.096364974975586, 5.980466365814209, 9.215696334838867]","[1.7955493927001953, 1.2387795448303223, 0.9860846996307373, 1.0160057544708252, 0.9893796443939209]","[610764, 613692, 613692, 613692, 613692]",6.941143322,1.205159807,0.012051598,613106.4,splitting,splittingLimit=500,0
200,"[3.740936756134033, 7.1638078689575195, 5.9441938400268555, 5.582700729370117, 4.363467216491699]","[2.393336772918701, 1.9729084968566895, 1.8798913955688477, 1.9022412300109863, 1.723508596420288]","[711640, 711640, 711640, 711640, 739664]",5.359021282,1.974377298,0.009871886,717244.8,splitting,splittingLimit=500,0
300,"[0.3215527832508087, 4.778443813323975, 4.010209083557129, 5.132272720336914, 4.206515312194824]","[3.737743616104126, 3.2625248432159424, 3.7021899223327637, 3.6520602703094482, 3.6845579147338867]","[922712, 1015576, 1110284, 1205500, 1267960]",3.689798743,3.607815313,0.012026051,1104406.4,splitting,splittingLimit=500,0
400,"[0.29580146074295044, 4.241714954376221, 4.251209259033203, 3.5127902030944824, 3.7894351482391357]","[6.300686836242676, 5.7306671142578125, 5.693987846374512, 6.1478660106658936, 6.171948194503784]","[1315040, 1503084, 1699820, 1898684, 2099676]",3.218190205,6.0090312,0.015022578,1703260.8,splitting,splittingLimit=500,0
500,"[0.21654857695102692, 3.469123601913452, 4.044457912445068, 3.252523183822632, 2.9074206352233887]","[8.215951681137085, 9.864697694778442, 9.138917922973633, 10.149577379226685, 9.04923939704895]","[2534160, 2534160, 2534160, 2534160, 2534160]",2.778014782,9.283676815,0.018567354,2534160,splitting,splittingLimit=500,0
600,"[0.47492319345474243, 3.46437931060791, 3.1583752632141113, 2.6693766117095947, 2.7227790355682373]","[10.900215864181519, 11.305123329162598, 12.31872034072876, 12.25106930732727, 10.749458312988281]","[3164532, 3164532, 3164532, 3198900, 3796244]",2.497966683,11.50491743,0.019174862,3297748,splitting,splittingLimit=500,0
700,"[0.0009192920988425612, 0.00016171828610822558, 0.0037029904779046774, 0.00016184375272132456, 0.524327278137207]","[21.512948989868164, 21.01583456993103, 21.197198390960693, 21.301847219467163, 21.469011306762695]","[3938512, 3938512, 3938512, 3938512, 3938512]",0.105854625,21.2993681,0.030427669,3938512,splitting,splittingLimit=500,0
800,"[0.0006111325928941369, 0.00011222399916732684, 0.0005352017469704151, 0.0009260028600692749, 0.00206731422804296]","[27.372629404067993, 25.807137727737427, 27.209249019622803, 27.06012535095215, 24.0611515045166]","[3938512, 3938512, 3969672, 3969672, 3969672]",0.000850375,26.3020586,0.032877573,3957208,splitting,splittingLimit=500,0
900,"[0.0002601367887109518, 0.00048060223343782127, 0.00012589391553774476, 0.000743070850148797, 0.0020290587563067675]","[34.008774757385254, 33.74818706512451, 28.802614450454712, 29.056128978729248, 30.229619026184082]","[3969672, 3969672, 3969672, 3969672, 3969672]",0.000727753,31.16906486,0.034632294,3969672,splitting,splittingLimit=500,0
1000,"[0.00023964152205735445, 6.107279477873817e-05, 4.1509276343276724e-05, 0.0004848742391914129, 0.005341087002307177]","[32.06397223472595, 41.009791135787964, 40.77405047416687, 32.108392000198364, 33.355308055877686]","[4005972, 4035284, 4043984, 4043984, 4043984]",0.001233637,35.86230278,0.035862303,4034641.6,splitting,splittingLimit=500,0
